paroophoron,,okuncikene nenzalo/ukwakheka kweqanda,;
parotid,,okuseduze nendlebe,;
patella,,i(li)vi,;
pecten,,ikama,;
pectinate,,okumise okwekama,;
pectineal,,okwesibumbu,;
pectineus,,umsipha wethambo lesibumbu,;
pectiniform,,okumise okwekama/okusaphaphe,;
pectoral,,okuphathelene nesifuba,;
peduncle,,isiqu,;
pellucidum,,okuluvindi,;
pelvis ,,amanyonga,;
penis,,umthondo/umphambili,;
pennate,,okumise okophaphe,;
peri-,,isiqalo sokuzungeza/sokuzungezile,;
perilymph,,uketshezi  lwendlebe,;
perineum,,ipheriniyamu,;
periodontal,,inzungezazinyo,;
peripheral,,emaphethelweni omzimba/emaphethelweni esakhiwo ,;
peristalsis,, ukuhamba kokudla,;
peritoneum,,untwentwesi lwenxasisu,;
peroneal,,okuphathelene  nethambo elincane  lombala,;
pes, pedis,,okuphathelene nonyawo,;
petrosal,,okuphathelene nokuqina ,;
petrous,,okusatshe,;
phaeo,,okunsunjwana/okumthuqasi,;
phagocyte,,isidlamagciwane/isidlazicutshana,;
phalanx,,ilunga lomunwe,;
phallus,,ingqalabulili/inhlumabulili,;
pharynx,,umphimbo,;
philtrum,,ugadasi/ikhothwa,;
phlebitis,,ukuvuvukala komthambo,;
phonation,,ukukhipha umsindo,;
photopic,,okokukhanya,;
phrenic,,okontu,;
phylogeny,,isigubobuhlanga,;
pia mater,,untwentwesi oluncikene nobuchopho,;
piles,,umhlume/ imizoko,;
pilomotor,,isishwaqisazinwele,;
pineal,,okusakhoni kaphayini,;
piriform,,okumise okwegonandoda,;
pituitary,,indlala engaphansi kobuchopho obungaphambili,;
placenta,,umzanyana,;
placode,,okuyisicaba/okubanzi,;
plantar,, amathe onyawo,;
platysma,,imilala,;
pleomorphic,,umumoningi,;
pleura,,untwentwesi lwesifuba,;
plexus,,amaxaka/amaxakela,;
plica,,imivingqi,;
pneumon-,,okuphathelene nephaphu,;
pollex,,okuhambisana nesithupha/ okusuka esithupheni,;
pollicis,,okuhambisana nesithupha/ okuya esithupheni,;
poly-,,isiqalo esokuphathelene nokuningi,;
polymorphonuclear,,umongo omumoningi,;
pons,,isiqu sobuchopho,;
popliteus,,umfasankomo,;
porta,,indawo yokungena/intuba,;
post-,,isiqalo esiphathelene nemuva/nokulandelayo,;
pre-,,isiqalo esiphathelene nokuphambilini/ngaphambi,;
prepuce,,ijwabu,;
pretrematic,,ngaphambi kwesikhala,;
primus,prima,primum,,okokuqala,;
princeps,,okuyinhloko/-ngqangi,;
procerus,,inhlambombo (umsipha),;
proctitis,,ukuvuvuka komtshazo,;
proctodaeum,,ingquza/umdidi,;
profundus,,umsipha osekujuleni,;
proligerous,,ukuzala/ukubeletha,;
prominens,,okuqhubushile,;
pronation,, ukubhekisa phansi,;
pronephros,,inkulanso ,;
proprioceptive,,okwesiqondamkhathi,;
prostate,,indlala yenzalo,;
pseudo-,,isiqalo esiphathelene nobumbumbulu/nemfihlasimo,;
psoas,,umsipha wedanda,;
pterion,,iphiko,;
pterygoid,,okumise okwephiko,;
ptosis,,intoba/ukugeba,;
pubis,,ithambo lesibumbu,;
pudendal,,okuyisa ezithweni  zangasese/,;
,,okuthumela ezithweni zangasese,;
pulmonary,,okuphathelene nephaphu,;
pulposus,,okusalubindiza,;
pulvinar,,okusakhushini/okusasigqiki,;
punctum,,iqhubumbobo,;
pupil,,inhlamvu yeso,;
putamen,,igobolondo,;
pyelogram,,isigqamisanso,;
pyknotic,,isimo kuminyana,;
pylorus,,inanzi,;
quadrangular,,okumachophomane ,;
quadrate,,umacalamane,;
quadriceps,,umsiphamine,;
quadrigemina,,iqhumakane,;
quinti,,okwesihlanu,;
radicular,,impande,;
radius,,ithanjana elingaphandle lengalo,;
ramus,,igatsha,;
ranine,,okusaxoxo /okusaselesele,;
raphe,,umphetho,;
receptaculum,,isiqukathimanzi/isigcinimanzi,;
a) rectus ,,a) okuqondile   ,;
b) rectum,,b)umtshazo,;
recurrent,,impindamumva,;
renal,,okuphathelene nezinso,;
renule,,okusanswana,;
restiform,,insontela,;
rete,,okusanethi/okusaneshana,;
reticular,,okusashana,;
retina ,,okusanethi esweni/irethina,;
retinaculum,,okusabhanjana ,;
retro-,,isiqalo esiphathelene nokungemuva kokunye,;
rhinencephalon,,ubuchopho benzwa yokuhogela,;
rhomboid,,okumise okwerombasi,;
rima,,umfantu,;
risorius,,umsiphakuhleka/irizoriyasi,;
rostrum,,unoqhwaku/uqhwaku,;
rotundum,,indilinga ,;
rubro-,,isiqalo esiphathelene nokubomvu,;
rugose,,okushwabene/okusamibimbi,;
sacciform,,okumise okwesaka,;
saccule,,isakana,;
sacrum,,ihoho,;
sagittal,,1.okuphathelene nokuklaywa 2. okuphathelene nokucazwa,;
salpinx,,ishubhu,;
saphenous,,okusobala,;
sartorius,,umsiphasingwegwe ,;
scala,,umhubhe omasongosongo,;
scalene,,unxantathu onamacala angalingene,;
scaphoid,,okumise okwesikejana,;
scapula,,isiphanga,;
sciatic,,okuphathelene nenqulu /okwenqulu,;
sclera,,isembozaso esiqinile,;
sclerotome,,isisikazicubu/isiklerethomi,;
scoliosis,,isigwegwamgogodla,;
scotopic,,ukuphazamiseka kokubona,;
scrotum,,isikhwama samasende,;
sebaceous,,okuphathelene nokukhiqizwa kwamafutha,;
sella turcica,,ithambosihlalo sehhashi sasethekhi,;
semilunar,,inyangacezu,;
seminiferous,,okuphathelene nesithwalambewu ,;
serum,,uhluzi,;
serratus,,okumazengezenge,;
sesamoid,,okumise okwembewana,;
sigmoid,,okumise okuka-s,;
singulare,,okungakodwana,;
sinus,,isayinasi ,;
soleus,,umsipha wesihluzi isoliyusi,;
solitarius,,okungakodwana,;
somatic,,ingaphandle lomzimba,;
somatopleure,,untwentwesi lwesifuba sombungwana,;
somite,,ingxenye yomzimba,;
spermatocyte,,isicutshana sesidoda/inhlayiya yesidoda,;
spermatogenesis,,ukukhiqizwa kwesidoda,;
spermatogonium,,isikhiqizasidoda,;
spermatozoon,,isidoda ,;
sphenoid,,okumise okocezu olucijile,;
sphincter,,uvulavale,;
spine,,umgogodla,;
splanchnic,,izibilini,;
splancnopleure,,isembozo sezibilini /untwentwesi lwenxasisu yombungwana,;
spleen,,ubende,;
splenius,,imisipha esabhandishi,;
splenium,,okusabhandishi,;
splenule,,ubenjana,;
spondylolisthesis,,ukugudluka kwamathambo omgogodla,;
spongiosum,,okusasiponji,;
spurium,,isinga/isingasimo,;
squamous,,okuyisicaba    ,;
stapedius,,umsiphasitibili,;
stapes,,isitibili,;
stellate,,okusankanyezi,;
stereognosis,,isimokuqonda/ umuzwakuqonda,;
sternebra,,izingxenyana zikangiklane,;
sternum,,ungiklane,;
stoma,,umlomo,;
stomodeaum,,umlomo wombungu,;
stratum ,,ugqinsi lwezicutshana/lwezinhlayinhlayiya,;
stria,,iminyama,;
stroma,,isihlanganisizicutshana/isihlanganisizinhlayiya,;
styloid,,okusamcijo/okusancijo,;
sub-,,isiqalo esiphathelene nokungaphansi/ okungenzansi,;
subclavian,,ngaphansi kwenqwababa,;
subiculum,,okuphasile/okusekele,;
sublimis,,okungaphezulu,;
sudomotor,,imbangamjuluko/iphehlamjuluko,;
